district,NAME_2,year,mean
PanchMahals,PanchMahals,2025.0,0.46924428825574616
Patan,Patan,2025.0,0.3722162433224238
Porbandar,Porbandar,2025.0,0.36364354596968396
Rajkot,Rajkot,2025.0,0.37514308505362254
SabarKantha,SabarKantha,2025.0,0.4628266142911061
Surat,Surat,2025.0,0.42399019139404304
Surendranagar,Surendranagar,2025.0,0.3599418350483272
Tapi,Tapi,2025.0,0.39007180240394007
TheDangs,TheDangs,2025.0,0.47644083362370554
Vadodara,Vadodara,2025.0,0.4986137311185099
Valsad,Valsad,2025.0,0.4595609903816162
